,UF,V0227,V0226,V02322,V4621,V4105
0,11,,2.0,4.0,800.0,1
1,11,,,,,1
2,11,3.0,4.0,2.0,1150.0,1
3,11,,2.0,2.0,793.0,1
4,11,3.0,4.0,4.0,2900.0,1
5,11,,2.0,2.0,1990.0,1
6,11,,2.0,4.0,350.0,1
7,11,,2.0,4.0,1333.0,1
8,11,,2.0,2.0,818.0,1
9,11,,,,,1
10,11,,2.0,2.0,1716.0,1
11,11,,2.0,2.0,2500.0,1
12,11,,,,,1
13,11,,2.0,2.0,1400.0,1
14,11,,,,,1
15,11,,2.0,2.0,666.0,1
16,11,,2.0,4.0,788.0,1
17,11,,2.0,2.0,750.0,1
18,11,,2.0,2.0,1437.0,1
19,11,,2.0,2.0,600.0,1
20,11,,2.0,2.0,933.0,1
21,11,,2.0,4.0,1087.0,1
22,11,,,,,1
23,11,,2.0,2.0,2666.0,1
24,11,,,,,1
25,11,,,,,1
26,11,,2.0,4.0,700.0,1
27,11,,2.0,2.0,3325.0,1
28,11,,2.0,2.0,3500.0,1
29,11,,2.0,2.0,1172.0,1
30,11,,2.0,4.0,1909.0,1
31,11,,2.0,2.0,3000.0,1
32,11,,2.0,2.0,366.0,1
33,11,,2.0,2.0,175.0,1
34,11,,,,,1
35,11,,2.0,4.0,262.0,1
36,11,,2.0,4.0,36.0,1
37,11,,2.0,2.0,596.0,1
38,11,,2.0,4.0,999999999999.0,1
39,11,,2.0,2.0,196.0,1
40,11,,2.0,4.0,788.0,1
41,11,,2.0,4.0,394.0,1
42,11,,2.0,2.0,975.0,1
43,11,,2.0,2.0,850.0,1
44,11,,2.0,2.0,2000.0,1
45,11,,2.0,2.0,480.0,1
46,11,,2.0,4.0,1262.0,1
47,11,,2.0,4.0,525.0,1
48,11,,2.0,4.0,530.0,1
49,11,,2.0,4.0,650.0,1
50,11,,2.0,2.0,666.0,1
51,11,,2.0,4.0,2700.0,1
52,11,,2.0,4.0,835.0,1
53,11,,,,1388.0,1
54,11,,2.0,2.0,2100.0,1
55,11,,2.0,4.0,579.0,1
56,11,,,,,1
57,11,,,,,1
58,11,,2.0,4.0,1000.0,1
59,11,,,,,1
60,11,,2.0,4.0,300.0,1
61,11,,2.0,4.0,225.0,1
62,11,,2.0,4.0,900.0,1
63,11,,2.0,4.0,394.0,1
64,11,,2.0,4.0,362.0,1
65,11,,2.0,4.0,312.0,1
66,11,,2.0,2.0,635.0,1
67,11,,2.0,4.0,425.0,1
68,11,,2.0,4.0,394.0,1
69,11,,,,,1
70,11,,2.0,4.0,250.0,1
71,11,,2.0,2.0,550.0,1
72,11,3.0,4.0,2.0,590.0,1
73,11,,2.0,2.0,2800.0,1
74,11,,2.0,2.0,625.0,1
75,11,1.0,4.0,4.0,1260.0,1
76,11,,2.0,2.0,1500.0,1
77,11,,2.0,2.0,837.0,1
78,11,,2.0,2.0,675.0,1
79,11,,2.0,2.0,1766.0,1
80,11,,2.0,2.0,2900.0,1
81,11,,,,,1
82,11,,2.0,4.0,1500.0,1
83,11,3.0,4.0,4.0,863.0,1
84,11,,,,,1
85,11,,2.0,2.0,617.0,1
86,11,,2.0,4.0,750.0,1
87,11,,2.0,2.0,184.0,1
88,11,,2.0,4.0,1250.0,1
89,11,,2.0,4.0,500.0,1
90,11,,2.0,4.0,550.0,1
91,11,,2.0,4.0,409.0,1
92,11,,2.0,4.0,215.0,1
93,11,,2.0,2.0,512.0,1
94,11,,2.0,2.0,833.0,1
95,11,,2.0,4.0,656.0,1
96,11,,2.0,2.0,490.0,1
97,11,,2.0,2.0,232.0,1
98,11,,,,,1
99,11,,2.0,4.0,0.0,1
100,11,,,,,1
101,11,,,,,1
102,11,,2.0,2.0,530.0,1
103,11,,,,,1
104,11,,,,,1
105,11,,2.0,2.0,505.0,1
106,11,,,,,1
107,11,,2.0,4.0,788.0,1
108,11,,2.0,4.0,262.0,1
109,11,,2.0,4.0,494.0,1
110,11,,2.0,2.0,250.0,1
111,11,,2.0,2.0,280.0,1
112,11,,2.0,2.0,1250.0,1
113,11,,2.0,2.0,2125.0,1
114,11,,2.0,4.0,1129.0,1
115,11,,2.0,4.0,788.0,1
116,11,,2.0,2.0,800.0,1
117,11,,2.0,2.0,342.0,1
118,11,3.0,4.0,4.0,288.0,1
119,11,,2.0,2.0,197.0,1
120,11,,2.0,2.0,647.0,1
121,11,3.0,4.0,4.0,1000.0,1
122,11,,,,,8
123,11,,,,,8
124,11,,2.0,2.0,694.0,8
125,11,,,,,8
126,11,3.0,4.0,4.0,600.0,8
127,11,,2.0,4.0,244.0,8
128,11,,2.0,4.0,161.0,8
129,11,,2.0,4.0,750.0,8
130,11,,2.0,4.0,788.0,8
131,11,,2.0,4.0,890.0,8
132,11,,2.0,2.0,821.0,8
133,11,,,,,8
134,11,,2.0,2.0,241.0,8
135,11,,2.0,4.0,1600.0,8
136,11,,,,,8
137,11,,,,,8
138,11,,,,,8
139,11,,2.0,2.0,433.0,1
140,11,,2.0,2.0,440.0,1
141,11,3.0,4.0,4.0,833.0,1
142,11,,2.0,2.0,692.0,1
143,11,,2.0,2.0,1420.0,1
144,11,,2.0,2.0,1300.0,1
145,11,,2.0,4.0,800.0,1
146,11,,2.0,4.0,70.0,1
147,11,,2.0,4.0,390.0,1
148,11,,2.0,4.0,766.0,1
149,11,,2.0,4.0,0.0,1
150,11,,2.0,4.0,162.0,1
151,11,3.0,4.0,4.0,560.0,1
152,11,,2.0,2.0,787.0,1
153,11,,2.0,4.0,381.0,1
154,11,,2.0,4.0,992.0,1
155,11,,2.0,4.0,570.0,1
156,11,,2.0,4.0,395.0,1
157,11,,2.0,2.0,1010.0,1
158,11,,2.0,4.0,1125.0,1
159,11,,2.0,4.0,320.0,1
160,11,,2.0,2.0,900.0,1
161,11,,2.0,2.0,187.0,1
162,11,,2.0,4.0,1200.0,1
163,11,,2.0,4.0,312.0,1
164,11,,2.0,4.0,300.0,1
165,11,,2.0,4.0,199.0,1
166,11,,2.0,4.0,790.0,1
167,11,,2.0,2.0,1095.0,1
168,11,,,,,1
169,11,,2.0,2.0,222.0,1
170,11,3.0,4.0,2.0,550.0,1
171,11,,2.0,4.0,1140.0,1
172,11,,,,,1
173,11,,2.0,4.0,831.0,1
174,11,,2.0,4.0,833.0,1
175,11,,2.0,2.0,120.0,1
176,11,,2.0,2.0,1925.0,1
177,11,,2.0,4.0,1182.0,1
178,11,,2.0,4.0,650.0,1
179,11,,2.0,2.0,497.0,1
180,11,,2.0,2.0,1050.0,1
181,11,,2.0,2.0,697.0,1
182,11,,2.0,4.0,999999999999.0,1
183,11,,2.0,4.0,640.0,1
184,11,,2.0,4.0,278.0,1
185,11,,2.0,4.0,425.0,1
186,11,,2.0,2.0,528.0,1
187,11,,2.0,4.0,788.0,1
188,11,,2.0,4.0,779.0,1
189,11,,2.0,2.0,900.0,1
190,11,,2.0,4.0,2288.0,1
191,11,,2.0,2.0,6000.0,1
192,11,,2.0,4.0,1900.0,1
193,11,,2.0,4.0,1000.0,8
194,11,,2.0,4.0,1522.0,8
195,11,,2.0,4.0,375.0,8
196,11,,2.0,4.0,913.0,8
197,11,,2.0,2.0,297.0,8
198,11,,2.0,4.0,372.0,8
199,11,,2.0,4.0,750.0,8
200,11,,2.0,4.0,894.0,8
201,11,,,,,8
202,11,,2.0,4.0,296.0,8
203,11,,2.0,4.0,892.0,8
204,11,,2.0,4.0,333.0,8
205,11,,2.0,2.0,547.0,8
206,11,,2.0,4.0,1394.0,8
207,11,,2.0,2.0,1829.0,8
208,11,,2.0,4.0,988.0,8
209,11,,2.0,4.0,300.0,8
210,11,,2.0,4.0,1750.0,8
211,11,,2.0,2.0,116.0,8
212,11,,2.0,4.0,800.0,8
213,11,,,,,8
214,11,,,,,8
215,11,,,,,8
216,11,,,,,8
217,11,,2.0,4.0,900.0,8
218,11,,2.0,4.0,2576.0,8
219,11,,2.0,4.0,394.0,8
220,11,,,,,8
221,11,,2.0,4.0,1000.0,8
222,11,,2.0,4.0,1788.0,8
223,11,,,,,8
224,11,,,,,8
225,11,,,,,8
226,11,,2.0,4.0,1894.0,8
227,11,,,,,1
228,11,,,,,1
229,11,,2.0,2.0,4317.0,1
230,11,,2.0,2.0,733.0,1
231,11,,,,,1
232,11,,2.0,2.0,3000.0,1
233,11,,,,,1
234,11,,2.0,4.0,788.0,1
235,11,,,,,1
236,11,,,,,1
237,11,,2.0,2.0,1600.0,1
238,11,,,,,1
239,11,,,,,1
240,11,,2.0,2.0,1230.0,1
241,11,,,,,1
242,11,,2.0,4.0,578.0,1
243,11,,2.0,2.0,3133.0,1
244,11,,2.0,2.0,2000.0,1
245,11,,2.0,2.0,875.0,1
246,11,,,,,1
247,11,,2.0,2.0,850.0,1
248,11,,,,,1
249,11,,2.0,2.0,1125.0,1
250,11,,2.0,2.0,1150.0,1
251,11,3.0,4.0,4.0,768.0,1
252,11,,,,,1
253,11,,2.0,4.0,780.0,1
254,11,,,,,1
255,11,,2.0,2.0,999999999999.0,1
256,11,,,,,1
257,11,,2.0,2.0,1080.0,1
258,11,,,,,1
259,11,,,,,1
260,11,,2.0,4.0,900.0,1
261,11,,,,,1
262,11,3.0,4.0,4.0,788.0,1
263,11,,,,,1
264,11,,2.0,2.0,876.0,1
265,11,,,,,1
266,11,,2.0,4.0,1350.0,1
267,11,,,,,1
268,11,,2.0,4.0,494.0,1
269,11,,2.0,4.0,733.0,1
270,11,,2.0,4.0,750.0,1
271,11,,2.0,4.0,900.0,1
272,11,,2.0,2.0,808.0,1
273,11,3.0,4.0,4.0,750.0,1
274,11,,2.0,2.0,1575.0,1
275,11,3.0,4.0,4.0,900.0,1
276,11,,,,,1
277,11,,2.0,2.0,2000.0,1
278,11,,2.0,2.0,950.0,1
279,11,,,,,1
280,11,,2.0,2.0,4000.0,1
281,11,,2.0,4.0,780.0,1
282,11,,2.0,4.0,1470.0,1
283,11,,2.0,4.0,788.0,1
284,11,,2.0,2.0,2200.0,1
285,11,,2.0,2.0,907.0,1
286,11,,2.0,2.0,1550.0,1
287,11,,2.0,4.0,1000.0,1
288,11,,,,,1
289,11,,2.0,4.0,884.0,1
290,11,,2.0,4.0,950.0,1
291,11,,,,,1
292,11,3.0,4.0,4.0,780.0,1
293,11,,2.0,2.0,759.0,1
294,11,,2.0,2.0,309.0,1
295,11,,2.0,4.0,95.0,1
296,11,,,,,1
297,11,,2.0,2.0,1700.0,1
298,11,,2.0,2.0,500.0,1
299,11,,2.0,4.0,650.0,1
300,11,,2.0,2.0,197.0,1
301,11,,2.0,4.0,396.0,1
302,11,,2.0,4.0,333.0,1
303,11,,2.0,2.0,3000.0,1
304,11,,2.0,2.0,375.0,1
305,11,,2.0,4.0,780.0,1
306,11,3.0,4.0,2.0,644.0,1
307,11,,2.0,4.0,944.0,1
308,11,,2.0,2.0,1788.0,1
309,11,,2.0,2.0,600.0,1
310,11,,2.0,4.0,561.0,1
311,11,,2.0,4.0,220.0,1
312,11,,2.0,4.0,375.0,1
313,11,,,,,1
314,11,,2.0,4.0,1200.0,1
315,11,,2.0,4.0,1440.0,1
316,11,,,,,1
317,11,,2.0,4.0,633.0,1
318,11,,2.0,2.0,2150.0,1
319,11,,2.0,2.0,1800.0,1
320,11,3.0,4.0,4.0,0.0,1
321,11,,2.0,2.0,900.0,1
322,11,,2.0,4.0,999999999999.0,1
323,11,,2.0,2.0,677.0,1
324,11,,2.0,4.0,274.0,1
325,11,,2.0,2.0,744.0,1
326,11,,2.0,4.0,4086.0,1
327,11,,2.0,4.0,613.0,1
328,11,,,,,1
329,11,,2.0,2.0,683.0,1
330,11,,2.0,2.0,13666.0,1
331,11,,,,,1
332,11,,,,,1
333,11,,2.0,2.0,1950.0,1
334,11,,,,,1
335,11,,2.0,4.0,400.0,1
336,11,,2.0,4.0,1500.0,1
337,11,,2.0,4.0,394.0,1
338,11,,2.0,4.0,788.0,1
339,11,,2.0,2.0,999999999999.0,1
340,11,,,,,1
341,11,,2.0,2.0,2197.0,1
342,11,,2.0,2.0,800.0,1
343,11,,2.0,2.0,829.0,1
344,11,,,,,1
345,11,,2.0,2.0,133.0,1
346,11,,2.0,4.0,788.0,1
347,11,,2.0,2.0,331.0,1
348,11,,2.0,4.0,394.0,1
349,11,,2.0,2.0,400.0,1
350,11,,2.0,2.0,2110.0,1
351,11,,2.0,4.0,404.0,1
352,11,,2.0,4.0,788.0,1
353,11,,2.0,4.0,1050.0,1
354,11,,2.0,4.0,1650.0,1
355,11,,2.0,2.0,3125.0,1
356,11,,2.0,2.0,922.0,1
357,11,,2.0,2.0,1666.0,1
358,11,,2.0,4.0,661.0,8
359,11,,,,,8
360,11,,,,,8
361,11,,2.0,4.0,1288.0,8
362,11,,,,,8
363,11,3.0,4.0,4.0,996.0,8
364,11,,2.0,4.0,766.0,8
365,11,,,,,8
366,11,,,,,8
367,11,,,,,8
368,11,,,,,8
369,11,,2.0,4.0,788.0,8
370,11,,,,,8
371,11,3.0,4.0,4.0,788.0,8
372,11,,,,,8
373,11,,,,,8
374,11,,,,,8
375,11,,,,,8
376,11,,2.0,4.0,210.0,8
377,11,,,,,8
378,11,,2.0,4.0,142.0,8
379,11,,2.0,4.0,801.0,8
380,11,3.0,4.0,4.0,1576.0,8
381,11,,2.0,4.0,500.0,8
382,11,,2.0,4.0,259.0,8
383,11,,,,,8
384,11,,2.0,4.0,90.0,8
385,11,,2.0,4.0,300.0,8
386,11,,2.0,4.0,450.0,8
387,11,,2.0,4.0,688.0,8
388,11,3.0,4.0,4.0,265.0,8
389,11,,2.0,4.0,1000.0,8
390,11,,,,,8
391,11,,,,,8
392,11,,2.0,2.0,2096.0,1
393,11,,,,,1
394,11,,,,,1
395,11,,,,,1
396,11,,2.0,2.0,5000.0,1
397,11,,,,,1
398,11,,,,,1
399,11,,,,,1
400,11,,2.0,4.0,532.0,1
401,11,,2.0,2.0,2075.0,1
402,11,,2.0,4.0,2700.0,1
403,11,,2.0,2.0,1500.0,1
404,11,3.0,4.0,4.0,850.0,1
405,11,,2.0,4.0,853.0,1
406,11,,2.0,2.0,1737.0,1
407,11,,2.0,4.0,1538.0,1
408,11,,2.0,4.0,788.0,1
409,11,,2.0,2.0,966.0,1
410,11,,2.0,4.0,788.0,1
411,11,,2.0,2.0,1250.0,1
412,11,,2.0,2.0,400.0,1
413,11,,2.0,4.0,1100.0,1
414,11,,2.0,4.0,594.0,1
415,11,,2.0,4.0,788.0,1
416,11,,,,,1
417,11,,,,,1
418,11,,,,,1
419,11,,2.0,2.0,600.0,1
420,11,,2.0,4.0,1576.0,1
421,11,,2.0,2.0,4666.0,1
422,11,,2.0,2.0,1100.0,1
423,11,,2.0,4.0,258.0,1
424,11,,2.0,4.0,999999999999.0,8
425,11,,,,,8
426,11,,2.0,4.0,141.0,8
427,11,,2.0,2.0,2466.0,8
